Date,Temperature C,Pressure hPa,Humidity %
2022-12-26 11:11:40.801757,23.643234110769118,1003.7882532465253,30.73175254638683
2022-12-26 11:11:41.830830,23.628053449676372,1003.7933859964387,30.74344192806191
2022-12-26 11:11:42.858385,23.643234110769118,1003.7882532465253,30.73175254638683
2022-12-26 11:11:43.897497,23.633113669749584,1003.8011543023665,30.731957521427667
2022-12-26 11:11:44.942479,23.63817389011383,1003.7236102011365,30.726163928033007
2022-12-26 15:00:52.296566,23.592631917312975,1000.9240002505364,31.694340731859075
2022-12-26 15:00:53.343645,23.592631917312975,1000.9524336991545,31.802428685996592
2022-12-26 15:00:54.372069,23.592631917312975,1000.9808671677182,31.82518361096318
2022-12-26 15:00:55.403899,23.592631917312975,1000.895566821864,31.791051166930792
2022-12-26 15:00:56.430481,23.58757169956807,1000.9162551210659,31.791141507118674
2022-12-26 15:00:57.473431,23.592631917312975,1000.9808671677182,31.791051166930792
2022-12-26 15:00:58.506079,23.597692135348915,1000.9886127822476,31.773894272892157
2022-12-26 15:00:59.535781,23.592631917312975,1000.9808671677182,31.745540713450897
2022-12-26 15:01:00.567026,23.597692135348915,1000.8748780978301,31.71700518115003
2022-12-26 15:01:01.612588,23.592631917312975,1000.9240002505364,31.67158493929408
2022-12-26 15:01:02.651757,23.592631917312975,1000.895566821864,31.63745096753406
2022-12-26 15:01:03.676459,23.592631917312975,1000.8671334131375,31.591938477083993
2022-12-26 15:01:04.711441,23.592631917312975,1000.8671334131375,31.574871137563328
2022-12-26 15:01:05.734344,23.597692135348915,1000.9317454001471,31.586156691218402
2022-12-26 15:01:06.758062,23.597692135348915,1000.8748780978301,31.60891330870095
2022-12-26 15:01:07.784452,23.602752353675896,1000.8826228026592,31.608820875444792
2022-12-26 15:01:08.811424,23.58757169956807,1000.9162551210659,31.60909814453465
2022-12-26 15:01:09.834128,23.597692135348915,1000.9033117390155,31.60322416847626
2022-12-26 15:01:10.858574,23.602752353675896,1000.8826228026592,31.59744245601891
2022-12-26 15:12:55.646978,23.643234110769118,1000.6602249297426,33.08708902155927
2022-12-26 15:12:56.695462,23.628053449676372,1000.6369973664143,32.933761657129374
2022-12-26 15:12:57.723294,23.633113669749584,1000.5878697893933,32.802871755636104
2022-12-26 15:12:58.748541,23.628053449676372,1000.6085625498916,32.70626105122081
2022-12-26 15:12:59.781227,23.643234110769118,1000.6602249297426,32.64345357977726
2022-12-26 15:13:00.811589,23.63817389011383,1000.6524823885189,32.61509450679221
2022-12-26 15:13:01.841325,23.628053449676372,1000.6085625498916,32.59250508911623
2022-12-26 15:13:02.869994,23.643234110769118,1000.6602249297426,32.54675618721214
2022-12-26 15:13:03.896440,23.6229932298942,1000.5723857373574,32.50157992073187
2022-12-26 15:13:04.925642,23.63817389011383,1000.6240471070777,32.410320964633044
2022-12-26 15:13:05.953153,23.64829433171544,1000.6395317447164,33.29743810976218
2022-12-26 15:13:06.985922,23.63817389011383,1000.6524823885189,34.883849369853365
2022-12-26 15:13:08.034536,23.643234110769118,1000.688660463593,34.70189216904604
2022-12-26 15:13:09.069859,23.64829433171544,1000.6679674910786,34.29820079481638
2022-12-26 15:13:10.098567,23.63817389011383,1000.6809176899088,33.93445299016752
2022-12-26 15:13:11.128792,23.643234110769118,1000.6317894158412,33.7353760526897
2022-12-26 15:13:12.158865,23.6229932298942,1000.6292548855382,33.462713614000435
2022-12-26 15:13:13.188941,23.64829433171544,1000.6679674910786,33.30312508674955
2022-12-26 15:13:14.217453,23.64829433171544,1000.6395317447164,33.166635035607115
2022-12-26 15:13:15.241813,23.633113669749584,1000.5878697893933,33.04743018699824
2022-12-26 15:13:16.265110,23.643234110769118,1000.6602249297426,33.04727792846741
2022-12-26 15:13:17.293293,23.63817389011383,1000.6809176899088,33.00754296059183
2022-12-26 15:13:18.323263,23.633113669749584,1000.7016100252168,32.979183076808496
2022-12-26 15:13:19.356381,23.67359544081264,1000.6213699331852,36.79866164033085
2022-12-26 15:13:20.387064,23.67359544081264,1000.6498068019573,36.38388744171742
2022-12-26 15:13:21.415073,23.668535218411126,1000.727374633653,35.47466604117206
2022-12-26 15:13:22.440809,23.663474996300646,1000.634322428188,34.8437810222023
2022-12-26 15:13:23.468149,23.668535218411126,1000.6705012612822,34.172867998201625
2022-12-26 15:13:24.497034,23.65841477448121,1000.6550164627904,33.763602882358896
2022-12-26 15:13:25.526441,23.663474996300646,1000.634322428188,33.55881826461848
2022-12-26 15:13:26.554023,23.663474996300646,1000.634322428188,33.41664676931
2022-12-26 15:13:27.580442,23.668535218411126,1000.6989379374925,33.3369552715194
2022-12-26 15:13:28.603456,23.663474996300646,1000.6058860243409,33.28584378638005
2022-12-26 15:13:29.629982,23.67359544081264,1000.6213699331852,33.25726010269657
2022-12-26 15:13:30.659050,23.67359544081264,1000.592933084364,33.274322174106906
2022-12-26 15:13:31.696969,23.678655663505197,1000.629111917754,33.285623353297986
2022-12-26 15:13:32.727797,23.663474996300646,1000.6911952957324,33.22897136772279
2022-12-26 15:13:33.756335,23.663474996300646,1000.634322428188,33.16072322012305
2022-12-26 15:14:27.123375,23.64829433171544,1000.6395317447164,31.607988515959825
2022-12-26 15:14:28.151021,23.643234110769118,1000.6602249297426,31.608081041251925
2022-12-26 15:14:29.177055,23.643234110769118,1000.6602249297426,31.556873193050606
2022-12-26 15:14:30.212622,23.653354552952806,1000.6472740936999,31.533927159215644
2022-12-26 15:14:31.240376,23.64829433171544,1000.6395317447164,31.54540032966253
2022-12-26 15:19:40.519892,23.663474996300646,1000.6058860243409,31.562190756403677
2022-12-26 15:19:41.554142,23.663474996300646,1000.634322428188,31.52805026845832
2022-12-26 15:19:42.580145,23.65841477448121,1000.6550164627904,31.48262307062206
2022-12-26 15:19:43.608932,23.65841477448121,1000.6834526740754,31.471242811127482
2022-12-26 15:19:44.638254,23.64829433171544,1000.6679674910786,31.465740987275954
2022-12-26 15:19:45.667048,23.65841477448121,1000.6265802714552,31.511073554277463
2022-12-26 15:19:46.695337,23.663474996300646,1000.71963175943,31.602020896452785
2022-12-26 15:19:47.726094,23.65841477448121,1000.6550164627904,31.64194274160106
2022-12-26 15:19:48.757643,23.65841477448121,1000.6834526740754,31.607803434696933
2022-12-26 15:20:41.416475,23.68371588648879,1000.6368539224175,31.311435491697832
2022-12-26 15:20:42.444925,23.678655663505197,1000.6006748364698,31.32291276309065
2022-12-26 15:20:43.473195,23.68371588648879,1000.5799793148733,31.322816927291633
2022-12-26 15:20:44.501200,23.68371588648879,1000.5231047871349,31.37972353920422
2022-12-26 15:20:45.530375,23.68371588648879,1000.5515420410285,31.436629207689407
2022-12-26 15:20:46.561957,23.67359544081264,1000.6213699331852,31.470960448692672
2022-12-26 15:20:47.593748,23.68371588648879,1000.6084166086698,31.510605166296184
2022-12-26 15:20:48.625043,23.678655663505197,1000.6006748364698,31.516389191883547
2022-12-26 15:20:49.655039,23.68371588648879,1000.6084166086698,31.45939121092381
2022-12-26 15:20:50.686463,23.678655663505197,1000.5438007337544,31.38550927169691
